Cobalt Blue,#0047AB,215,1,0.67,
Cocoa Brown,#D2691E,25,0.86,0.82,
Coconut,#965A3E,19,0.59,0.59,
Coffee,#6F4E37,25,0.5,0.44,
Columbia Blue,#C4D8E2,200,0.13,0.89,
Congo Pink,#F88379,5,0.51,0.97,
Cool Black,#002E63,212,1,0.38,
Cool Grey,#8C92AC,229,0.19,0.67,
Copper,#B87333,29,0.72,0.72,
Copper (Crayola),#DA8A67,18,0.53,0.85,
Copper Penny,#AD6F69,5,0.39,0.68,
Copper Red,#CB6D51,14,0.6,0.8,
Copper Rose,#996666,0,0.33,0.6,
Coquelicot,#FF3800,13,1,1,
Coral,#FF7F50,16,0.69,1,
Coral Pink,#F88379,5,0.51,0.97,
Coral Red,#FF4040,0,0.75,1,
Cordovan,#893F45,355,0.54,0.54,
Corn,#FBEC5D,54,0.63,0.98,
Cornell Red,#B31B1B,0,0.85,0.7,
Cornflower Blue,#6495ED,219,0.58,0.93,
Cornsilk,#FFF8DC,48,0.14,1,
Cosmic Latte,#FFF8E7,43,0.09,1,
Coyote Brown,#81613e,62,0.52,0.51,
Cotton Candy,#FFBCD9,334,0.26,1,
Cream,#FFFDD0,57,0.18,1,
Crimson,#DC143C,348,0.91,0.86,
Crimson Glory,#BE0032,344,1,0.75,
Crimson Red,#990000,0,1,0.6,
Cyan,#00FFFF,180,1,1,
Cyan Azure,#4E82b4,209,0.57,0.71,
Cyan-Blue Azure,#4682BF,210,0.63,0.75,
Cyan Cobalt Blue,#28589C,215,0.74,0.61,
Cyan Cornflower Blue,#188BC2,199,0.88,0.76,
Cyan (Process),#00B7EB,193,1,0.92,
Cyber Grape,#58427C,263,0.47,0.49,
Cyber Yellow,#FFD300,50,1,1,
Daffodil,#FFFF31,60,0.81,1,
Dandelion,#F0E130,55,0.8,0.94,
Dark Blue,#00008B,240,1,0.55,
Dark Blue-Gray,#666699,240,0.33,0.6,
Dark Brown,#654321,30,0.67,0.4,
Dark Brown-Tangelo,#88654E,24,0.43,0.53,
Dark Byzantium,#5D3954,315,0.39,0.36,
Dark Candy Apple Red,#A40000,0,1,0.64,
Dark Cerulean,#08457E,209,0.94,0.49,
Dark Chestnut,#986960,10,0.37,0.6,
Dark Coral,#CD5B45,10,0.66,0.8,
Dark Cyan,#008B8B,180,1,0.55,
Dark Electric Blue,#536878,206,0.31,0.47,
Dark Goldenrod,#B8860B,43,0.94,0.72,
Dark Gray (X11),#A9A9A9,�,0,0.66,
Dark Green,#013220,158,0.98,0.2,
Dark Green (X11),#006400,120,1,0.39,
Dark Gunmetal,#006400,202,0.26,0.16,
Dark Imperial Blue,#00416A,203,1,0.42,
Dark Imperial Blue,#6E6EF9,183,1,0.4,
Dark Jungle Green,#1A2421,162,0.28,0.14,
Dark Khaki,#BDB76B,56,0.43,0.74,
Dark Lava,#483C32,27,0.31,0.28,
Dark Lavender,#734F96,270,0.47,0.59,
Dark Liver,#534B4F,330,0.1,0.33,
Dark Liver (Horses),#543D37,12,0.35,0.33,
Dark Magenta,#8B008B,300,1,0.55,
Dark Medium Gray,#A9A9A9,�,0,0.66,
Dark Midnight Blue,#003366,210,1,0.4,
Dark Moss Green,#4A5D23,80,0.62,0.36,
Dark Olive Green,#556B2F,82,0.56,0.42,
Dark Orange,#FF8C00,33,1,1,
Dark Orchid,#9932CC,280,0.75,0.8,
Dark Pastel Blue,#779ECB,212,0.41,0.8,
Dark Pastel Green,#03C03C,138,0.98,0.75,
Dark Pastel Purple,#966FD6,263,0.48,0.84,
Dark Pastel Red,#C23B22,9,0.82,0.76,
Dark Pink,#E75480,342,0.64,0.91,
Dark Powder Blue,#003399,220,1,0.6,
Dark Puce,#4F3A3C,354,0.27,0.31,
Dark Purple,#301934,291,0.51,0.2,
Dark Raspberry,#872657,330,0.72,0.53,
Dark Red,#8B0000,0,1,0.55,
Dark Salmon,#E9967A,15,0.48,0.91,
Dark Scarlet,#560319,344,0.97,0.34,
Dark Sea Green,#8FBC8F,120,0.24,0.74,
Dark Sienna,#3C1414,0,0.67,0.24,
Dark Sky Blue,#8CBED6,199,0.35,0.84,
Dark Slate Blue,#483D8B,248,0.56,0.55,
Dark Slate Gray,#2F4F4F,180,0.41,0.31,
Dark Spring Green,#177245,150,0.8,0.45,
Dark Tan,#918151,45,0.44,0.57,
Dark Tangerine,#FFA812,38,0.93,1,
Dark Taupe,#483C32,27,0.31,0.28,
Dark Terra Cotta,#CC4E5C,353,0.62,0.8,
Dark Turquoise,#00CED1,181,1,0.82,
Dark Vanilla,#D1BEA8,32,0.2,0.82,
Dark Violet,#9400D3,282,1,0.83,
Dark Yellow,#9B870C,52,0.92,0.61,
Dartmouth Green,#00703C,152,1,0.44,
Davy's Grey,#555555,�,0,0.33,
Debian Red,#D70A53,339,0.95,0.84,
Deep Aquamarine,#40826D,161,0.51,0.51,
Deep Carmine,#A9203E,347,0.81,0.66,
Deep Carmine Pink,#EF3038,357,0.8,0.94,
Deep Carrot Orange,#E9692C,19,0.81,0.91,
Deep Cerise,#DA3287,330,0.77,0.85,
Deep Champagne,#FAD6A5,35,0.34,0.98,
Deep Chestnut,#B94E48,3,0.61,0.73,
Deep Coffee,#704241,1,0.42,0.44,
Deep Fuchsia,#C154C1,300,0.56,0.76,
Deep Green,#056608,122,0.95,0.4,
Deep Green-Cyan Turquoise,#0E7C61,165,0.89,0.49,
Deep Jungle Green,#004B49,178,1,0.29,
Deep Koamaru,#333366,240,0.5,0.4,
Deep Lemon,#F5C71A,47,0.89,0.96,
Deep Lilac,#9955BB,280,0.55,0.73,
Deep Magenta,#CC00CC,300,1,0.8,
Deep Maroon,#820000,0,1,0.51,
Deep Mauve,#D473D4,300,0.46,0.83,
Deep Moss Green,#355E3B,129,0.44,0.37,
Deep Peach,#FFCBA4,26,0.36,1,
Deep Pink,#FF1493,328,0.92,1,
Deep Puce,#A95C68,351,0.46,0.66,
Deep Red,#850101,0,0.99,0.52,
Deep Ruby,#843F5B,336,0.52,0.52,
Deep Saffron,#FF9933,30,0.8,1,
Deep Sky Blue,#00BFFF,195,1,1,
Deep Space Sparkle,#4A646C,194,0.31,0.42,
Deep Spring Bud,#556B2F,82,0.56,0.42,
Deep Taupe,#7E5E60,356,0.25,0.49,
Deep Tuscan Red,#66424D,342,0.35,0.4,
Deep Violet,#330066,270,1,0.4,
Deer,#BA8759,28,0.52,0.73,
Denim,#1560BD,213,0.89,0.74,
Desaturated Cyan,#669999,180,0.33,0.6,
Desert,#C19A6B,33,0.45,0.76,
Desert Sand,#EDC9AF,25,0.26,0.93,
Desire,#EA3C53,352,0.74,0.92,
Diamond,#B9F2FF,191,0.27,1,
Dim Gray,#696969,�,0,0.41,
Dirt,#9B7653,29,0.46,0.61,
Dodger Blue,#1E90FF,210,0.88,1,
Dogwood Rose,#D71868,335,0.89,0.84,
Dollar Bill,#85BB65,98,0.46,0.73,
Donkey Brown,#664C28,35,0.61,0.4,
Drab,#967117,43,0.85,0.59,
Duke Blue,#00009C,240,1,0.61,
Dust Storm,#E5CCC9,6,0.12,0.9,
Dutch White,#EFDFBB,42,0.22,0.94,
Earth Yellow,#E1A95F,34,0.58,0.88,
Ebony,#555D50,97,0.14,0.36,
Ecru,#C2B280,45,0.34,0.76,
Eerie Black,#1B1B1B,�,0,0.11,
Eggplant,#614051,329,0.34,0.38,
Eggshell,#F0EAD6,46,0.11,0.94,
Egyptian Blue,#1034A6,226,0.9,0.65,
Electric Blue,#7DF9FF,183,0.51,1,
Electric Crimson,#FF003F,345,1,1,
Electric Cyan,#00FFFF,180,1,1,
Electric Green,#00FF00,120,1,1,
Electric Indigo,#6F00FF,266,1,1,
Electric Lavender,#F4BBFF,290,0.27,1,
Electric Lime,#CCFF00,72,1,1,
Electric Purple,#BF00FF,285,1,1,
Electric Ultramarine,#3F00FF,255,1,1,
Electric Violet,#8F00FF,274,1,1,
Electric Yellow,#FFFF33,60,0.8,1,
Emerald,#50C878,140,0.6,0.78,
Eminence,#6C3082,284,0.63,0.51,
English Green,#1B4D3E,162,0.65,0.3,
English Lavender,#B48395,338,0.27,0.71,
English Red,#AB4B52,356,0.56,0.67,
English Violet,#563C5C,289,0.35,0.36,
Eton Blue,#96C8A2,134,0.25,0.78,
Eucalyptus,#44D7A8,161,0.68,0.84,
Fallow,#C19A6B,33,0.45,0.76,
Falu Red,#801818,0,0.81,0.5,
Fandango,#B53389,320,0.72,0.71,
Fandango Pink,#DE5285,338,0.63,0.87,
Fashion Fuchsia,#F400A1,320,1,0.96,
Fawn,#E5AA70,30,0.51,0.9,
Feldgrau,#4D5D53,143,0.17,0.36,
Feldspar,#FDD5B1,28,0.3,0.99,
Fern Green,#4F7942,106,0.45,0.47,
Ferrari Red,#FF2800,9,1,1,
Field Drab,#6C541E,42,0.72,0.42,
Firebrick,#B22222,0,0.81,0.7,
Fire Engine Red,#CE2029,357,0.84,0.81,
Flame,#E25822,17,0.85,0.89,
Flamingo Pink,#FC8EAC,344,0.44,0.99,
Flattery,#6B4423,28,0.67,0.42,
Flavescent,#F7E98E,52,0.43,0.97,
Flax,#EEDC82,50,0.45,0.93,
Flirt,#A2006D,320,1,0.64,
Floral White,#FFFAF0,40,0.06,1,
Fluorescent Orange,#FFBF00,45,1,1,
Fluorescent Pink,#FF1493,328,0.92,1,
Fluorescent Yellow,#CCFF00,72,1,1,
Folly,#FF004F,341,1,1,
Forest Green (Traditional),#014421,149,0.99,0.27,
Forest Green (Web),#228B22,120,0.76,0.55,
French Beige,#A67B5B,26,0.45,0.65,
French Bistre,#856D4D,34,0.42,0.52,
French Blue,#0072BB,203,1,0.73,
French Fuchsia,#FD3F92,334,0.75,0.99,
French Lilac,#86608E,290,0.32,0.56,
French Lime,#9EFD38,89,0.78,0.99,
French Mauve,#D473D4,300,0.46,0.83,
French Pink,#FD6C9E,339,0.57,0.99,
French Plum,#811453,325,0.84,0.51,
French Puce,#4E1609,11,0.88,0.31,
French Raspberry,#C72C48,349,0.78,0.78,
French Rose,#F64A8A,338,0.7,0.96,
French Sky Blue,#77B5FE,212,0.53,1,
French Violet,#8806CE,279,0.97,0.81,
French Wine,#AC1E44,344,0.83,0.67,
Fresh Air,#A6E7FF,196,0.35,1,
Fuchsia,#FF00FF,300,1,1,
Fuchsia (Crayola),#C154C1,300,0.56,0.76,
Fuchsia Pink,#FF77FF,300,0.53,1,
Fuchsia Purple,#CC397B,333,0.72,0.8,
Fuchsia Rose,#C74375,337,0.66,0.78,
Fulvous,#E48400,35,1,0.89,
Fuzzy Wuzzy,#CC6666,0,0.5,0.8,
Gainsboro,#DCDCDC,0,0,0.86,
Gamboge,#E49B0F,39,0.93,0.89,
Gamboge Orange (Brown),#996600,40,1,0.6,
Generic Viridian,#007F66,168,1,0.5,
Ghost White,#F8F8FF,240,0.03,1,
Giants Orange,#FE5A1D,16,0.89,1,
Glaucous,#6082B6,216,0.47,0.71,
Glitter,#E6E8FA,234,0.08,0.98,
GO Green,#00AB66,156,1,0.67,
Gold (Metallic),#D4AF37,46,0.74,0.83,
Gold (Web) (Golden),#FFD700,51,1,1,
Gold Fusion,#85754E,43,0.41,0.52,
Golden Brown,#996515,36,0.86,0.6,
Golden Poppy,#FCC200,46,1,0.99,
Golden Yellow,#FFDF00,52,1,1,
Goldenrod,#DAA520,43,0.85,0.85,
Granny Smith Apple,#A8E4A0,113,0.3,0.89,
Grape,#6F2DA8,272,0.73,0.66,
Grussrel,#B06500,34,1,0.69,
Gray,#808080,0,0,0.5,
Gray (HTML/CSS Gray),#808080,0,0,0.5,
Gray (X11 Gray),#BEBEBE,0,0,0.75,
Gray-Asparagus,#465945,117,0.22,0.35,
Gray-Blue,#8C92AC,229,0.19,0.67,
Green (Color Wheel) (X11 Green),#00FF00,120,1,1,
Green (Crayola),#1CAC78,158,0.84,0.67,
